instance_id,gpt41,o4mini,claude4
django__django-11772,1.414249182,0.822700858,1.8808039060000001
matplotlib__matplotlib-20679,0.00956782,0.006635189,0.012480198
sympy__sympy-15596,0.020438911,0.012499154,0.027281143
django__django-11279,0.016328098,0.011354983,0.01942723
sphinx-doc__sphinx-9665,0.017516397,0.008351862,0.023692571
sympy__sympy-14038,0.008105963,0.002391517,0.011328274000000001
django__django-12486,0.009949003,0.008011043,0.011996804
django__django-16002,0.005481717,0.003409833,0.007050803
sympy__sympy-15971,1.000007749,0.9099226,1.182000655
sympy__sympy-14308,0.004997195,0.002965182,0.006619389
pydata__xarray-6804,1.414252162,0.853634059,1.862968652
django__django-15731,0.008820425,0.006492019,0.011336683
pydata__xarray-4419,0.001401874,0.000392854,0.00194194
django__django-15738,0.005995146,0.004512966,0.007522449
sympy__sympy-13264,0.011955825,0.007753581,0.015687951999999998
sympy__sympy-13878,0.004844077,0.003376454,0.006068397999999999
sympy__sympy-14317,0.005593688,0.002033472,0.007586277000000001
django__django-16899,0.008562528,0.007329583,0.010082286
sympy__sympy-13286,0.027252825,0.024503618,0.032153567
matplotlib__matplotlib-20584,0.009678592,0.00780201,0.011846269999999999
django__django-11396,0.007023521,0.004808933,0.009147038
mwaskom__seaborn-2946,0.003254277,0.002323061,0.004230798
django__django-15031,1.000104785,0.738124549,1.266046443
pytest-dev__pytest-5281,0.007781492,0.005857676,0.009109251
django__django-15669,1.000025988,0.875712633,1.185194144
scikit-learn__scikit-learn-11310,0.017450482,0.015157044,0.020527447
django__django-16208,0.028481051,0.01646623,0.037609437
pydata__xarray-7052,0.012130005,0.006987125,0.015898586
pydata__xarray-4442,0.001604423,0.001030594,0.001931611
django__django-11911,0.004831696,0.003089368,0.006313479
scikit-learn__scikit-learn-13704,0.004522771,0.002166003,0.006032586
django__django-15413,0.008408405,0.00106895,0.011535253
matplotlib__matplotlib-20805,0.006928696,0.004752785,0.008838554
django__django-15498,1.00008595,0.898562014,1.18000515
scikit-learn__scikit-learn-13221,0.004626037,0.001437575,0.006329025
astropy__astropy-8251,0.007047094,0.005929917,0.008390589
sphinx-doc__sphinx-8579,0.006685182,0.005422235,0.008249798
sympy__sympy-15609,0.012399021,0.009373039,0.015802697
django__django-14518,0.019453689,0.010455996,0.026314351
matplotlib__matplotlib-24971,0.005004671,0.002070159,0.006641266
django__django-14802,0.015331281,0.013664544,0.018064208000000002
astropy__astropy-13404,0.00735697,0.004878968,0.009694444
django__django-12915,0.007700228,0.006755829,0.009203749
sympy__sympy-19954,0.006612198,0.004869282,0.008416144
matplotlib__matplotlib-23288,0.007747961,0.005255908,0.00966791
django__django-16707,0.00690863,0.000783473,0.009682332
pytest-dev__pytest-7373,0.009285954,0.002880692,0.012431988000000001
django__django-14916,1.000123739,0.870562136,1.182442963
sympy__sympy-18744,0.000783585,0.000128686,0.001046722
pydata__xarray-4802,0.003861614,0.002762496,0.004947313
django__django-12713,0.031201459,0.021201998,0.041155214
matplotlib__matplotlib-25405,0.014170888,0.000557542,0.019235547999999998
astropy__astropy-14539,0.003780125,0.002455711,0.004936223
scikit-learn__scikit-learn-10558,0.008759123,0.002732128,0.01209954
django__django-12973,0.00912194,0.005660564,0.011415008
django__django-12965,0.005163947,0.000855953,0.007018706
sympy__sympy-18168,1.000068903,0.904324174,1.1810867010000001
django__django-16938,0.021556895,0.019624203,0.025481706
sphinx-doc__sphinx-10551,0.011642294,0.002490312,0.015724282
django__django-16877,1.000163317,0.907245517,1.181845664
django__django-15996,0.013452,0.0110071,0.016871477
sympy__sympy-14296,0.00800225,0.002831012,0.010648339
pytest-dev__pytest-10624,0.008175947,0.002015561,0.010966738
django__django-15916,0.004698092,0.002189726,0.006399435
sympy__sympy-11618,0.027070194,0.015402645,0.035906249
sphinx-doc__sphinx-8638,1.000026226,0.795195997,1.2665684279999998
pytest-dev__pytest-5103,0.012712397,0.005922496,0.017187502
django__django-14170,0.010532812,0.008026659,0.013162187
django__django-10853,0.003333207,0.001614481,0.004427513
pydata__xarray-4684,0.002339157,0.000428796,0.003314921
django__django-12299,0.007960031,0.006937027,0.009611901999999999
django__django-12286,0.011630586,0.00829488,0.014931181
sphinx-doc__sphinx-8362,0.006009789,0.002322316,0.008441365999999999
django__django-12508,1.000014067,0.895008683,1.179030922
psf__requests-6028,1.000043988,0.652976334,1.3260191590000001
django__django-15180,0.006176081,0.00478065,0.0074550120000000004
django__django-14169,0.011808583,0.005184382,0.016309425
django__django-11400,0.026782356,0.021454334,0.033139394
django__django-13820,0.011866657,0.007367849,0.015482339999999999
matplotlib__matplotlib-22945,0.002570033,0.000740021,0.0034954960000000003
sympy__sympy-19091,0.004373614,0.003567547,0.005360439999999999
sphinx-doc__sphinx-10097,0.007723303,0.002052724,0.010647667999999999
sympy__sympy-24370,0.001062871,0.000461996,0.001461471
pylint-dev__pylint-7080,6.1e-05,2.11e-05,8.48e-05
django__django-16830,1.000013351,0.889046669,1.1780506
scikit-learn__scikit-learn-13496,0.017353686,0.009134412,0.02345769
psf__requests-4718,0.005171127,0.001952767,0.006891573
django__django-13670,0.014212131,0.010707438,0.01796441
sympy__sympy-11796,0.015175891,0.013326436,0.018009722
django__django-11677,1.000017881,0.31299907,1.399045485
django__django-14730,1.000058413,0.686650276,1.2845302140000001
pytest-dev__pytest-8428,0.021733748,0.01728797,0.026953947
django__django-14385,0.0079782,0.001691967,0.010767602
sphinx-doc__sphinx-8721,0.02048533,0.018124193,0.024110169
sphinx-doc__sphinx-9155,0.002393401,0.001632243,0.003017128
django__django-11891,1.000139594,0.852163672,1.177968301
sympy__sympy-12286,0.018206898,0.015597761,0.021554456
django__django-13606,0.01181867,0.007880211,0.014850925000000001
django__django-16759,1.000067234,0.874757946,1.1936434
pydata__xarray-4248,0.008527764,0.003149241,0.011636259
django__django-16920,0.008575488,0.005269736,0.011198670999999999
django__django-12477,0.012015998,0.009649187,0.014734232
sphinx-doc__sphinx-9591,0.010210066,0.009270817,0.012064247
django__django-13884,0.009719613,0.005549997,0.012987450000000001
sphinx-doc__sphinx-8951,0.008085575,0.007245809,0.009534761
django__django-13236,1.000050545,0.689661503,1.314395321
pytest-dev__pytest-5254,0.013244753,0.009680778,0.016728859
django__django-14034,0.003720371,0.002220482,0.004694031
django__django-14149,1.000047088,0.872052908,1.1745003820000002
django__django-12469,1.000035167,0.907192647,1.181510498
pytest-dev__pytest-7500,0.010030107,0.00064528,0.013558976
pytest-dev__pytest-9066,0.008989623,0.006472468,0.011612531
django__django-12441,1.000091672,0.456893057,1.340994299
astropy__astropy-12825,0.001743892,0.001242965,0.002214775
django__django-12284,0.017174575,0.014442474,0.020133993000000003
sphinx-doc__sphinx-10323,0.007003425,0.003803849,0.009227155
django__django-16819,1.414255142,0.866337836,1.8914205910000002
pytest-dev__pytest-8033,0.003532079,0.000751346,0.0049989909999999995
matplotlib__matplotlib-20859,0.027176062,0.024639606,0.032104019
astropy__astropy-14163,1.000385046,0.455275983,1.2556687500000001
sphinx-doc__sphinx-7910,0.017186541,0.014058083,0.021454722
astropy__astropy-13731,1.00013721,0.867100656,1.1829612950000001
matplotlib__matplotlib-25281,0.000818604,0.00019142,0.001139962
django__django-16254,0.010122782,0.009117872,0.011946374000000001
matplotlib__matplotlib-13980,0.003056878,0.001553088,0.004068858
scikit-learn__scikit-learn-25774,0.021171315,0.015755236,0.027051611
astropy__astropy-14213,1.000002742,0.911652684,1.182336155
django__django-13886,0.015479852,0.012631923,0.018834562
django__django-15671,1.000061989,0.865748584,1.193092881
astropy__astropy-7166,1.000049233,0.896089733,1.1798226989999998
pylint-dev__pylint-6903,0.006310975,0.003992677,0.008255666
django__django-12588,1.414349914,0.842376232,1.861065334
scikit-learn__scikit-learn-12989,1.000105262,0.911078751,1.182456273
django__django-15563,1.000023484,0.347234547,1.376416257
astropy__astropy-14566,0.01197669,0.010705948,0.014117873999999999
scikit-learn__scikit-learn-13536,1.000052452,0.279446214,1.312945112
django__django-16614,1.41421783,0.893405616,1.894613046
matplotlib__matplotlib-25565,0.003429229,0.000213981,0.004661066
django__django-12851,1.000145793,0.856611192,1.181043128
pydata__xarray-6386,0.002689214,0.001750618,0.0035236670000000003
matplotlib__matplotlib-26479,0.0138041,0.01090461,0.01731377
sympy__sympy-23141,0.004725842,0.003809899,0.005833153
sympy__sympy-23021,0.002414678,0.000844389,0.003398298
psf__requests-5087,0.002998276,0.002015322,0.003921087
sympy__sympy-20590,0.014117672,0.007117718,0.018797435
psf__requests-1713,0.004733145,0.002203882,0.0062317430000000005
sphinx-doc__sphinx-8719,0.015798388,0.012662977,0.019397728
django__django-11417,1.000299335,0.845518053,1.170198909
sphinx-doc__sphinx-8291,0.008737471,0.004633933,0.01169618
pydata__xarray-6823,0.002011994,0.000742376,0.002763358
astropy__astropy-14484,0.003149332,0.00215432,0.004052956
sympy__sympy-13236,0.008097545,0.007038087,0.009624693
sphinx-doc__sphinx-8863,0.007019163,0.004588932,0.009059168
sphinx-doc__sphinx-10325,0.006156402,0.004177213,0.00782178
pylint-dev__pylint-5446,1.414271593,0.903285563,1.834281787
astropy__astropy-13417,0.01260379,0.000212103,0.016989564999999998
astropy__astropy-7858,0.001350609,0.000877887,0.001765892
pydata__xarray-7120,0.000847775,0.000272185,0.0011271900000000001
sympy__sympy-13091,0.015523248,0.013456017,0.01830064
sphinx-doc__sphinx-8633,0.00482489,0.004265994,0.005678089
sympy__sympy-13185,0.001308734,0.000173748,0.001749707
scikit-learn__scikit-learn-23099,0.015290082,0.009746522,0.020134646
django__django-10999,0.007663247,0.005793154,0.009650561
pylint-dev__pylint-8169,0.010070512,0.006894946,0.013066271
sphinx-doc__sphinx-7930,0.018921776,0.01610902,0.022586502
sympy__sympy-21055,0.016165523,0.00950247,0.021870474
sympy__sympy-18765,0.008973467,0.005281836,0.011978435
sympy__sympy-16601,0.003308399,0.00297749,0.003903879
scikit-learn__scikit-learn-10297,0.008347628,0.006934971,0.010006728999999999
django__django-13741,1.000063777,0.01278517,1.3468025510000001
django__django-10989,0.004848173,0.003216445,0.0062278
django__django-16569,0.007433581,0.006375343,0.009032941
matplotlib__matplotlib-24627,0.006328398,0.002293289,0.008702821
sympy__sympy-18650,1.000297308,0.768126249,1.21413619
sympy__sympy-12906,0.004955669,0.003892839,0.005861016
sphinx-doc__sphinx-8265,0.010127135,0.001775473,0.014038279
astropy__astropy-7441,1.00007391,0.018291337,1.345023093
matplotlib__matplotlib-22835,0.006811943,0.00521037,0.008502462
pytest-dev__pytest-6323,1.732076764,0.894761622,2.34258616
scikit-learn__scikit-learn-25299,0.006564248,0.003577799,0.008718688
astropy__astropy-8263,0.007245339,0.005017668,0.009288437
django__django-11905,1.000297666,0.56004262,1.315003639
sphinx-doc__sphinx-9711,0.008030151,0.006726325,0.009623913999999999
django__django-15742,0.007567535,0.003914297,0.010165654
django__django-13810,1.000015378,0.890313625,1.178132073
django__django-12276,0.022376049,0.018209308,0.027218311999999998
django__django-14471,0.013074013,0.009501517,0.016761866
astropy__astropy-8339,0.007789791,0.004049629,0.010171414
django__django-14534,0.01177618,0.008667707,0.015060944
django__django-11666,0.010308058,0.003373981,0.014260853
django__django-12062,0.03086674,0.026475638,0.036585156
pytest-dev__pytest-10356,1.000011802,0.910721064,1.182170272
matplotlib__matplotlib-22883,1.000094295,0.475313246,1.388835329
sympy__sympy-13865,0.009903532,0.001601875,0.013795244
sphinx-doc__sphinx-8621,0.014042859,0.011395246,0.016958808
psf__requests-2466,0.000764584,0.000608146,0.000953215
matplotlib__matplotlib-23964,0.002078502,0.000499696,0.0028136539999999996
django__django-11053,0.016814757,0.013125211,0.020892352
django__django-10997,0.014124355,0.012560338,0.016636429
sphinx-doc__sphinx-9015,0.00489166,0.003690302,0.006049152
scikit-learn__scikit-learn-11333,0.004017883,0.003106594,0.0049566739999999995
django__django-12360,0.011164257,0.005893767,0.014772645000000001
scikit-learn__scikit-learn-12961,0.009687527,0.005894661,0.012910617999999999
sympy__sympy-22914,0.006012554,0.00325352,0.00807106
sympy__sympy-13915,0.008578497,0.006358594,0.011034918
django__django-13279,0.020593585,0.017025858,0.024784018
pylint-dev__pylint-4669,0.005934058,0.004455268,0.007586996
